temperature,RH,dew_point
-21,80,-23.3
-20,75,-22.7
-20,80,-22.6
-20,85,-22.1
-19,60,-24.2
-19,65,-23.6
-19,70,-23.0
-19,75,-22.0
-19,80,-21.6
-19,85,-21.1
-18,55,-24.2
-18,60,-23.7
-18,65,-22.8
-18,70,-22.1
-18,75,-21.3
-18,80,-20.7
-18,85,-20.0
-17,55,-23.6
-17,60,-22.8
-17,65,-21.8
-17,70,-21.1
-17,75,-20.4
-17,80,-19.6
-17,85,-19.0
-17,90,-18.2
-16,50,-23.3
-16,55,-22.7
-16,60,-21.8
-16,65,-20.9
-16,70,-20.1
-16,75,-19.3
-16,80,-18.7
-16,85,-18.0
-16,90,-17.3
-15,50,-22.5
-15,55,-21.8
-15,60,-20.9
-15,65,-20.1
-15,70,-19.3
-15,75,-18.4
-15,80,-17.7
-15,85,-17.0
-15,90,-16.5
-14,45,-22.7
-14,50,-21.8
-14,55,-21.0
-14,60,-20.1
-14,65,-19.1
-14,70,-18.2
-14,75,-17.5
-14,80,-16.9
-14,85,-15.9
-14,90,-15.6
-13,40,-23.1
-13,45,-22.1
-13,50,-21.1
-13,55,-20.0
-13,60,-19.1
-13,65,-18.2
-13,70,-17.4
-13,75,-16.5
-13,80,-15.7
-13,85,-15.0
-13,90,-14.4
-12,35,-23.6
-12,40,-22.5
-12,45,-21.3
-12,50,-20.2
-12,55,-19.2
-12,60,-18.2
-12,65,-17.2
-12,70,-16.3
-12,75,-15.6
-12,80,-14.8
-12,85,-14.0
-12,90,-13.5
-11,35,-22.9
-11,40,-21.6
-11,45,-20.6
-11,50,-19.3
-11,55,-18.2
-11,60,-17.2
-11,65,-16.3
-11,70,-15.4
-11,75,-14.6
-11,80,-13.8
-11,85,-13.0
-11,90,-12.5
-11,95,-11.8
-10,30,-23.5
-10,35,-22.3
-10,40,-21.3
-10,45,-19.5
-10,50,-18.4
-10,55,-17.3
-10,60,-16.3
-10,65,-15.3
-10,70,-14.4
-10,75,-13.5
-10,80,-12.8
-10,85,-12.1
-10,90,-11.5
-10,95,-11.1
-9,30,-22.8
-9,35,-21.7
-9,40,-19.9
-9,45,-18.7
-9,50,-17.5
-9,55,-16.3
-9,60,-15.3
-9,65,-14.4
-9,70,-13.4
-9,75,-12.6
-9,80,-11.8
-9,85,-11.0
-9,90,-10.5
-9,95,-9.9
-8,30,-22.3
-8,35,-20.7
-8,40,-19.3
-8,45,-17.7
-8,50,-16.4
-8,55,-15.4
-8,60,-14.4
-8,65,-13.3
-8,70,-12.5
-8,75,-11.6
-8,80,-10.8
-8,85,-10.1
-8,90,-9.5
-8,95,-8.7
-7,30,-21.7
-7,35,-20.0
-7,40,-18.3
-7,45,-16.8
-7,50,-15.6
-7,55,-14.5
-7,60,-13.4
-7,65,-12.4
