id_station,nom_station,longitude,latitude
21317937,Espace_67,-73.535417,45.511028
21317938,Jean-Drapeau_Etang,-73.532472,45.518028
21317939,Sud-Ouest-1,-73.586583,45.465944
21317940,CDN-NDG-1,-73.648944,45.493556
21317941,Carref_Langelier,-73.573583,45.593194
21317942,Boise-Peres,-73.556306,45.575694
21317943,Jean-Milot,-73.568444,45.593944
21317947,Outremont 1,-73.615361,45.524389
21317948,MHM 1,-73.519722,45.580972
21317949,VSMPE 2,-73.624667,45.57175
21317950,VSMPE 1,-73.644056,45.53125
21317953,Hopital_M-R,-73.559639,45.573333
21317958,Saint-Leonard 1,-73.597917,45.585361
21317959,MHM 2,-73.521556,45.586333
21317960,Saint-Leonard 2,-73.596472,45.586306
