EMP_NO,arrond_id,type_emp_id,Sigle,DHP,Date_Plantation,CODE_PARC,Arbre_remarquable,Longitude,Latitude
6,1,11,GLTRSK,25.0,2004-06-10T00:00:00,0005-000,N,-73.715515,45.535151
7,1,11,GLTRSK,32.0,2004-06-18T00:00:00,0005-000,N,-73.715595,45.535219
8,1,11,GYDI,21.0,2004-06-10T00:00:00,0005-000,N,-73.715659,45.535105
9,1,11,FRNIFG,5.0,2004-06-18T00:00:00,0005-000,N,-73.715298,45.535617
10,1,11,QURU,34.0,2004-06-18T00:00:00,0005-000,N,-73.715596,45.535598
11,1,11,QUMA,21.0,2004-06-18T00:00:00,0005-000,N,-73.71571,45.535821
12,1,11,ACSAMO,30.0,2004-06-18T00:00:00,0005-000,N,-73.715364,45.535824
13,1,11,ACPLEQ,34.0,2004-06-18T00:00:00,0005-000,N,-73.715562,45.536186
14,1,11,THOCNI,27.2,2004-06-18T00:00:00,0005-000,N,-73.715551,45.536349
15,1,11,THOCNI,27.8,2004-06-18T00:00:00,0005-000,N,-73.715525,45.536285
16,1,11,THOCNI,35.1,2004-06-18T00:00:00,0005-000,N,-73.71561,45.536303
22,1,11,GLTRSK,37.0,2004-07-06T00:00:00,0023-000,N,-73.654402,45.57114
23,1,11,ALGL,5.0,2023-09-25T00:00:00,0029-000,N,-73.695417,45.547188
24,1,11,ACSAMO,21.0,2004-07-06T00:00:00,0029-000,N,-73.695318,45.547073
25,1,11,ACSAPY,31.0,2004-07-06T00:00:00,0029-000,N,-73.695548,45.547125
27,1,11,ACPLDE,27.0,2004-07-12T00:00:00,0023-000,N,-73.652695,45.570248
28,1,11,ACPLDE,25.0,2004-07-12T00:00:00,0023-000,N,-73.652806,45.570297
30,1,11,ACPLDE,26.0,2004-07-12T00:00:00,0023-000,N,-73.716914,45.536621
31,1,11,ACPLDE,25.0,2004-07-12T00:00:00,0023-000,N,-73.653137,45.57044
36,1,11,SYREIS,25.0,2004-07-07T00:00:00,0023-000,N,-73.653311,45.570103
37,1,11,SYREIS,19.0,2004-07-07T00:00:00,0023-000,N,-73.653376,45.570131
38,1,11,SYREIS,26.0,2004-07-07T00:00:00,0023-000,N,-73.65344,45.57016
39,1,11,SYREIS,24.0,2004-07-07T00:00:00,0023-000,N,-73.653502,45.57019
40,1,11,SYREIS,22.0,2004-07-07T00:00:00,0023-000,N,-73.653565,45.570217
41,1,11,PIPUHO,11.0,2004-07-08T00:00:00,0023-000,N,-73.653203,45.569966
42,1,11,PIPUHO,16.0,2004-07-08T00:00:00,0023-000,N,-73.653291,45.570058
43,1,11,PIPUHO,18.0,2004-07-08T00:00:00,0023-000,N,-73.653338,45.570072
44,1,11,PIPUHO,15.0,2004-07-08T00:00:00,0023-000,N,-73.653378,45.570095
45,1,11,PIPUHO,19.0,2004-07-08T00:00:00,0023-000,N,-73.653425,45.570108
46,1,11,PIPUHO,15.0,2004-07-08T00:00:00,0023-000,N,-73.653473,45.570135
47,1,11,PIPUHO,15.0,2004-07-08T00:00:00,0023-000,N,-73.653522,45.570119
48,1,11,SYREIS,17.0,2004-07-13T00:00:00,0023-000,N,-73.653387,45.569997
49,1,11,PIPUHO,15.0,2004-07-08T00:00:00,0023-000,N,-73.653528,45.570154
50,1,11,PIPUHO,15.0,2004-07-19T00:00:00,0023-000,N,-73.653569,45.570179
63,1,11,QUMA,15.0,2004-09-02T00:00:00,1049-000,N,-73.630284,45.553199
65,1,11,ACPLDE,25.0,2004-08-23T00:00:00,0010-000,N,-73.687882,45.537813
66,1,11,ACPLDE,26.0,2006-09-18T00:00:00,0010-000,N,-73.68783,45.53773
67,1,11,ACPLDE,25.0,2004-08-23T00:00:00,0010-000,N,-73.687834,45.53765
69,1,11,ACPLDE,27.0,2004-08-30T00:00:00,0006-000,N,-73.704563,45.534982
70,1,11,ACPLDE,25.0,2004-08-30T00:00:00,0006-000,N,-73.704404,45.534946
71,1,11,GLTRSK,35.0,2004-08-30T00:00:00,0006-000,N,-73.704269,45.534865
73,1,11,GLTRSK,35.0,2004-08-30T00:00:00,0006-000,N,-73.704383,45.534734
74,1,11,GIBI,19.0,2004-09-07T00:00:00,0006-000,N,-73.704979,45.534333
146,1,11,GIBI,23.0,2004-08-31T00:00:00,0006-000,N,-73.705277,45.534433
