CODE_PARC,NOM_PARC
0002-000,LEFEBVRE
0003-000,"LACHAPELLE, PONT"
0004-000,DE MÉSY
0005-000,RAIMBAULT
0006-000,SAINTE-ODILE
0007-000,"BORDEAUX, DE"
0009-000,DE SALABERRY
0010-000,MARCELIN-WILSON
0010-001,ACADIE/PLACE DE L'ACADIE (NORD)
0011-000,SAINT-SIMON-APÔTRE
0012-000,SAINT-BENOÎT
0013-000,TOLHURST
0014-000,SAINT-ANDRÉ-APÔTRE
0015-000,NICOLAS-VIEL
0018-000,AHUNTSIC
0019-000,SIMONE-BOURDON
0020-000,OLYMPIA/GOUIN
0021-000,LOUIS-HÉBERT
0022-000,LOMER-GOUIN
0023-000,SAULT-AU-RÉCOLLET
0024-000,GABRIEL-LALEMANT
0025-000,"HIRONDELLES, DES"
0026-000,PRIEUR
0029-000,"MERCI, DE LA"
0030-000,ZOTIQUE-RACICOT
0031-001,"BATELIERS, DES"
0032-000,JEANNE-SAUVÉ
0033-000,MAURICE-RICHARD
0034-000,GOUIN (SOPHIE-BARAT)
0035-000,AVILA-VIDAL
0036-000,"VÉTÉRANS, DES"
0041-000,PASTEUR
0042-000,SAINT-LOUIS
0043-000,PARC TOUSSAINT-LOUVERTURE
0046-000,BALDWIN
0047-000,SAINT-PIERRE-CLAVER
0048-000,"LORIMIER, DE"
0049-000,"COMPAGNONS-DE-SAINT-LAURENT, D"
0054-000,CONNAUGHT-TOWNSEND
0056-000,DÉZÉRY
0057-000,HOCHELAGA
0058-000,EDMOND-HAMELIN
0059-000,SAINT-ALOYSIUS
0061-000,LA FONTAINE
0061-001,URBAIN-GRAVELINE
0064-000,THÉRÈSE DAVIAU
0065-000,J.-Z.-LEON-PATENAUDE
0067-000,LAHAIE
0068-000,PARC GILLES-LEFEBVRE
0069-000,SAINT-ANTOINE NORD
0072-000,LUCIA-KOWALUK
0073-000,VICTOR-MORIN
0074-000,MALINES\BERRI
0075-000,"PÉPINIÈRE, ANCIENNE"
0076-000,CHAMPÊTRE
0077-000,MORGAN
0079-000,GENNEVILLIERS-LALIBERTÉ
0079-001,MAISONNEUVE
0080-000,OVILA-PELLETIER
0082-000,MARIE-VICTORIN
0083-000,REGIE DES INSTALLATIONS OLYMPIQUES
0083-002,PIERRE-CHARBONNEAU
0084-000,JARDIN BOTANIQUE
0085-000,"MAISONNEUVE, DE"
0085-001,"VILLAGE, LE"
0086-000,JACQUES-BLANCHET
0088-000,THÉODORE
0091-000,SAINT-CLÉMENT
0092-000,FARIBAULT
0094-000,PIERRE-BÉDARD
0095-000,OLIVIER-GUIMOND
0096-000,JOSEPH-THIBAUDEAU
0097-000,JEAN-AMYOT
0098-000,ROUGEMONT
0099-000,GUYBOURG
0101-000,SAINT-DONAT
0102-000,BEAUCLERK
0103-000,PIERRE-TÉTREAULT
0104-000,LUCILLE-TEASDALE
0104-001,T.-X.-RENAUD
0104-002,DICKSON/MONSABRÉ
0104-003,DICKSON/PIERRE-BÉDARD
0105-000,LIÉBERT
0106-000,SAINTE-CLAIRE
0107-000,JULIETTE-HUOT
0108-000,DUPÉRÉ
0109-000,THOMAS-CHAPAIS
0110-000,PIERRE-BERNARD
0111-000,CLÉMENT-JETTÉ NORD
0113-000,"CAPTURE-D'ETHAN-ALLEN, DE LA"
0114-001,L.-O.-TAILLON
0114-002,CLÉMENT-JETTÉ SUD
0114-006,TERMINAL CAST
0115-000,SAINT-VICTOR
0116-001,HECTOR-VINET (OUEST)
0116-002,HECTOR-VINET (EST)
0117-000,AUBRY/DE TECK
0118-000,HENRY-MORGENTALER
0119-000,HONORÉ-MERCIER
0120-000,"LEPAILLEUR, PLACE"
0121-000,"PROMENADE-BELLERIVE, DE LA"
0123-000,PLACE PAUL-ÉMILE LÉGER
0125-000,SKATE PLAZA
0126-000,PÈRE MARQUETTE
0127-000,MONTCALM
0128-000,SICARD
0129-000,"BOISÉ-DE-SAINT-SULPICE, DU"
0137-000,MAURICE-CULLEN
0138-000,MACKENZIE-KING
0139-000,VAN-HORNE
0140-000,"DARLINGTON, PLACE"
0141-002,TROIE
0145-000,MAHATMA-GANDHI
0146-000,KENT
0147-000,ROMEO-CHARETTE
0149-000,DUNKERQUE
0149-001,JEAN-TALON / DIEPPE
0151-000,WINNIE ET NELSON MANDELA
0154-000,WILDERTON/HILLSDALE
0156-000,GILBERT-LAYTON
0157-000,LOYOLA
0158-000,TRENHOLME
0159-000,BENNY
0160-000,"CONFEDERATION, DE LA"
0161-000,SOMERLED
0162-000,WILLIAM-HURST
0163-000,LEDUC
0166-000,GEORGES-SAINT-PIERRE
0167-000,GADBOIS
0168-000,PRUD'HOMME
0169-000,SAINTE-ANNE-DE-BELLEVUE
0170-000,NOTRE-DAME-DE-GRACE
0171-000,GUILLAUME-COUTURE
0172-000,MACDONALD
0173-000,ROSEMARY-BROWN
0174-000,COTE-ST-LUC/KENSINGTON
0175-000,JOSE-RIZAL
0176-000,SNOWDON
0177-000,HERBERT-OUTERBRIDGE
0179-000,WILLIAM-BOWIE
0180-000,"GUY-VIAU, PLACE"
0182-000,PAPINEAU
0184-000,CHARLES-S.-CAMPBELL
0186-000,RAYMOND-PRÉFONTAINE
0187-000,SAINT-EMILE
0188-000,LALANCETTE
0190-000,VICTOR-BOURGEAU
0196-000,ROSEMONT
0197-000,MOLSON
0198-000,GABRIEL-SAGARD
0199-000,NICOLAS-TILLEMONT
0200-000,SAINT-MARC
0202-000,BEAUBIEN
0203-000,PLACE DU 6-DECEMBRE-1989
0205-000,"UKRAINE, DE L"
0206-000,ÉTIENNE-DESMARTEAU
0207-000,SAINTE-BERNADETTE
0209-000,"LOUISIANE, DE LA"
0210-000,CITE-JARDIN
0210-001,"DES MELEZES, AVENUE"
0210-002,"DES SORBIERS, AVENUE"
0210-003,"DES PLAINES, AVENUE"
0210-006,"DES EPINETTES, AVENUE"
0210-007,"DES CHENES, AVENUE"
0211-000,JOSEPH-PARE
0212-000,"PELICAN, LE"
0216-000,PIERRE-TYSSERRE
0217-000,"MARCELLE-GAUVREAU, JARDIN"
0218-000,RAYMOND-LÉVESQUE
0219-000,LAFOND
0220-000,LEON-PROVENCHER
0221-000,IDOLA-SAINT-JEAN
0222-000,CABOT
0225-000,MONT-ROYAL
0225-001,JEANNE-MANCE
0226-000,PERCY-WALTERS
0227-000,SUMMERHILL
0228-000,"AMÉRIQUE LATINE, DE L"
0232-000,BERRI/ST-JOSEPH
0233-000,"CARMEL, DU"
0234-000,PAULINE-JULIEN
0235-000,LUDGER-DUVERNAY
0236-000,SIR-WILFRID-LAURIER
0237-000,ALBERT-SAINT-MARTIN
0238-000,GIOVANNINA-DI TOMASSO
0240-000,"COOPÉRATIVES, PLACE DES"
0241-000,"CARRIÈRES, DES"
0242-000,THERESE-CASGRAIN
0243-000,SAINT-EDOUARD
0244-000,CARMELA-GALARDO-FRASCARELLI
0249-000,MAISONS BONAVENTURE
0251-000,"ROYAUX, DES"
0252-000,MEDERIC-MARTIN
0253-000,VINET/SAINT-JACQUES
0255-000,MESSIER
0256-000,LE BER
0258-000,MARGUERITE-BOURGEOYS
0259-000,SAMMY-HILL
0260-001,SAINT-GABRIEL
0260-002,HIBERNIA
0262-000,"ARGENSON, D'"
0264-000,PLACE DU COMMERCE
0265-000,"IRLANDE, DE L'"
0266-000,VICTORIA
0267-001,DORCHESTER
0268-000,"FRERE-ANDRE, DU"
0269-000,PHILLIPS
0270-000,RUTHERFORD
0273-000,"CANADA, PLACE DU"
0274-000,SAINT-JOHN-BOSCO
0276-000,"TRAITE-DES-FOURRURES, DE LA"
0277-000,SAINTE-ÉLISABETH
0278-001,SIR-GEORGES-ÉTIENNE-CARTIER
0279-000,LOUIS-CYR
0280-000,SAINT-HENRI SQUARE
0281-000,JACQUES-COUTURE
0282-000,WOONERF
0282-001,"LAC-À-LA-LOUTRE, DU"
0283-000,BRUCHÉSI
0284-000,LACASSE
0285-000,"SAINT-HENRI, POLYVALENTE"
0286-000,"HOMMES-FORTS, DES"
0287-000,ARISTIDE-BEAUGRAND-CHAMPAGNE
0288-000,GÉDÉON-DE CATALOGNE
0289-000,CHRISTOPHE-COLOMB OUEST
0289-001,BERTHE-LOUARD NORD
0289-002,BERTHE-LOUARD SUD
0290-000,ROLAND-PROULX
0291-000,"GASPE, DE"
0292-000,"PETITE-ITALIE, DE LA"
0294-000,ATHENA
0295-000,"LESTRE, DE"
0296-000,SAINT-ROCH
0297-000,JEAN-VALETS
0298-000,HOWARD
0300-000,MOZART
0301-000,"FERME-BRODIE, DE LA"
0302-000,BIRNAM
0303-000,DANTE
0304-000,CHAMPAGNEUR
0305-000,ROBERT-BOURASSA/ST-JACQUES
0306-000,"PORTUGAL, DU"
0307-000,DES AÇORES
0308-000,LIONAIS
0309-000,"AMÉRIQUES, DES"
0310-000,DENISE-MORELLE
0311-000,OSCAR-PETERSON
0312-000,JESSIE-MAXWELL-SMITH
0313-000,CHABOILLEZ
0314-000,BONNAVENTURE / BRENNAM
0314-003,"BONAVENTURE/DE LA COMMUNE (O) (ARR. 6,8)"
0316-000,HERB-TRAWIK
0322-000,JEANNE-MANCE/SHERBROOKE
0330-000,MIVILLE-COUTURE
0331-000,"BULLION, DE"
0332-000,JEAN-JACQUES-OLIER
