annee,arrond_id,code_type_base_demande,nombre_permis_emis,cout_permis_emis,cout_travaux_estimes
1990,1,CO,110,114132.89,33677252.0
1990,1,DE,35,3860.0,
1990,1,TR,328,105004.18,25819273.0
1990,7,CO,46,78113.54,23429150.0
1990,7,DE,21,2280.0,
1990,7,TR,419,170120.58,35378177.0
1990,22,CA,32,880.0,439500.0
1990,22,CO,66,9146.0,6220000.0
1990,22,DE,13,130.0,31500.0
1990,22,TR,66,3151.0,1554600.0
1990,13,CA,769,118628.0,5210940.0
1990,13,CO,159,40.0,19139800.0
1990,13,TR,59,0.0,14218700.0
1990,5,CO,24,30734.32,12346400.0
1990,5,DE,111,2310.0,
1990,5,TR,832,177682.95,43135710.0
1990,8,CO,56,51153.8,21192250.0
1990,8,DE,71,2310.0,
1990,8,TR,289,160098.56,36747707.0
1990,4,CO,102,47063.01,24699230.0
1990,4,DE,81,2540.0,
1990,4,TR,480,116128.73,21084152.0
1990,9,CO,618,248406.92,98860296.0
1990,9,DE,38,5920.0,
1990,9,TR,314,95313.32,20259124.0
1990,3,CO,57,40093.1,16136500.0
1990,3,DE,130,4025.0,
1990,3,TR,424,134987.97,16457802.0
1990,27,"CA, CO, DE, TR",508,96973.6,140321811.0
1990,16,"CO, DE",8,606.4,
1990,6,CO,48,496421.72,402963800.0
1990,6,DE,49,3300.0,
1990,6,TR,1162,901020.31,216099722.0
1990,2,CO,31,31594.75,18259500.0
1990,2,DE,71,1020.0,
1990,2,TR,364,59551.36,10310741.0
1991,1,CO,83,158325.54,73775900.0
1991,1,DE,23,2905.0,
1991,1,TR,344,96297.68,18367795.0
1991,7,CO,52,66974.35,37270919.0
1991,7,DE,30,4270.0,
1991,7,TR,484,326504.65,67704149.0
1991,22,CA,45,1865.0,400250.0
1991,22,CO,75,25218.0,8379500.0
1991,22,DE,14,530.0,18400.0
1991,22,TR,56,4491.0,1377750.0
1991,13,CA,927,76448.0,2080250.0
1991,13,CO,167,1810.0,13548937.0
1991,13,TR,50,354.0,1847700.0
1991,5,CO,18,12734.74,5369650.0
1991,5,DE,91,4755.0,
1991,5,TR,811,215026.14,41052041.0
1991,8,CO,45,25798.69,11172800.0
1991,8,DE,59,2950.0,
1991,8,TR,255,89461.19,16909261.0
1991,4,CO,130,37731.2,29737335.0
1991,4,DE,69,2430.0,
1991,4,TR,448,275720.71,101399891.0
1991,9,CO,784,178734.43,76529312.0
1991,9,DE,27,3240.0,
1991,9,TR,322,76188.36,19508346.0
1991,3,CO,43,24165.06,11115591.0
1991,3,DE,103,2965.0,
1991,3,TR,469,131837.93,44696277.0
1991,27,CA,615,48342.0,24283231.0
1991,27,CO,15,32896.0,26797000.0
1991,27,DE,14,6619.0,
1991,27,TR,52,50394.0,6765900.0
1991,16,DE,75,0.0,
1991,6,CO,33,57646.24,56907100.0
1991,6,DE,59,8740.0,
1991,6,TR,1168,1019096.18,279474268.0
1991,2,CO,46,43135.05,12625500.0
1991,2,DE,52,3515.0,
1991,2,TR,417,116398.74,18068043.0
1992,1,CO,49,37590.12,10252135.0
1992,1,DE,19,845.0,
1992,1,TR,324,156903.69,26115896.0
1992,7,CO,38,40810.84,24501069.0
1992,7,DE,37,3125.0,
1992,7,TR,376,196454.64,41544119.0
1992,22,"CA, CO, DE, TR",261,51275.0,16182150.0
1992,13,CA,881,218871.0,1756300.0
1992,13,CO,193,13462.16,16332720.0
1992,13,TR,58,2264.0,22744500.0
1992,5,CO,14,6877.38,3229100.0
1992,5,DE,106,3390.0,
1992,5,TR,663,241172.6,44866767.0
1992,8,CO,31,37349.02,10060450.0
1992,8,DE,35,3655.0,
1992,8,TR,205,57285.24,10994798.0
1992,4,CO,125,88262.25,29951198.0
1992,4,DE,86,6460.0,
1992,4,TR,379,120942.64,21304027.0
1992,9,CO,560,175809.31,60725950.0
1992,9,DE,43,6930.0,
1992,9,TR,239,59905.32,6166838.0
1992,3,CO,35,14557.98,9041075.0
1992,3,DE,136,3105.0,
1992,3,TR,440,158618.88,19064318.0
1992,27,CA,478,36060.0,13954220.0
1992,27,CO,13,29267.75,11335000.0
1992,27,DE,14,27437.0,
1992,27,TR,48,23982.0,9726180.0
1992,16,DE,60,0.0,
1992,6,CO,30,153692.7,99422440.0
1992,6,DE,54,5260.0,
1992,6,TR,1056,800588.89,156569637.0
1992,2,CO,20,25147.77,6311133.0
1992,2,DE,53,1110.0,
1992,2,TR,349,136411.53,22139062.0
1993,1,CO,58,60079.51,10712948.0
1993,1,DE,20,2060.0,
1993,1,TR,268,182368.23,31509195.0
1993,7,CO,26,45635.84,12885500.0
1993,7,DE,28,1185.0,
1993,7,TR,362,221701.6,38417216.0
1993,22,"CA, CO, DE, TR",277,67106.0,23697335.0
1993,13,CA,1030,206056.0,2375627.0
1993,13,CO,214,40316.99,46912486.0
1993,13,TR,105,8216.4,4775580.0
1993,5,CO,32,65348.82,12719000.0
1993,5,DE,145,5652.0,
1993,5,TR,581,113375.39,16996124.0
1993,8,CO,34,68915.28,13301543.0
1993,8,DE,56,2970.0,
1993,8,TR,179,55914.86,9922291.0
1993,4,CO,78,145237.06,27987331.0
1993,4,DE,81,2895.0,
1993,4,TR,379,147191.34,22948487.0
1993,9,CO,354,97401.6,30547348.0
1993,9,DE,21,2930.0,
1993,9,TR,197,38159.46,9311466.0
1993,3,CO,42,9960.25,3801150.0
1993,3,DE,128,2685.0,
1993,3,TR,380,116035.44,27549878.0
1993,27,CA,534,49623.0,25308311.0
1993,27,CO,71,39665.0,37920000.0
1993,27,DE,11,2385.0,
1993,27,TR,45,14434.0,6002481.0
1993,16,DE,62,0.0,
1993,6,CO,24,161512.81,76877646.0
1993,6,DE,38,3906.0,
1993,6,TR,839,779019.16,155133926.0
1993,2,CO,29,17750.53,3409038.0
1993,2,DE,79,5280.0,
1993,2,TR,329,101879.52,16302078.0
1994,1,"CO, DE, TR",370,221422.58,45184431.0
1994,7,CO,31,182508.3,34426373.0
1994,7,DE,12,1800.0,
1994,7,TR,386,191464.29,34506111.0
1994,22,"CA, CO, DE, TR",313,66643.0,21355700.0
1994,13,CA,1222,243209.82,3455520.0
1994,13,CO,243,38464.0,23147063.0
1994,13,TR,118,11226.0,7237580.0
1994,5,CO,40,60136.0,11141982.0
1994,5,DE,36,2100.0,
1994,5,TR,642,153941.14,27405732.0
1994,8,CO,28,21154.3,3819270.0
1994,8,DE,26,2700.0,
1994,8,TR,225,137532.62,23849202.0
1994,4,CO,53,186456.03,33546226.0
1994,4,DE,30,5100.0,
1994,4,TR,413,346919.57,61359638.0
1994,9,CO,391,339464.52,73711490.0
1994,9,DE,28,6585.0,
1994,9,TR,270,81600.7,13449660.0
1994,3,CO,49,43499.82,7520155.0
1994,3,DE,76,5385.0,
1994,3,TR,399,242773.43,56375031.0
1994,27,CA,826,63328.0,24766033.0
1994,27,CO,184,66268.9,33037000.0
1994,27,DE,19,1834.0,
1994,27,TR,43,26425.0,11554370.0
1994,16,"CO, DE",68,425.0,382000.0
1994,6,CO,25,739731.27,132650279.0
1994,6,DE,24,4200.0,
1994,6,TR,865,968409.4,155563250.0
