date,id_compteur,nb_passages
2025-01-01,100001753,46
2025-01-01,100003032,253
2025-01-01,100003040,6
2025-01-01,100003041,74
2025-01-01,100003042,69
2025-01-01,100004575,0
2025-01-01,100007390,2225
2025-01-01,100011747,55
2025-01-01,100011783,79
2025-01-01,100012217,176
2025-01-01,100012218,31
2025-01-01,100017441,82
2025-01-01,100017523,37
2025-01-01,100025474,222
2025-01-01,100035408,33
2025-01-01,100035409,0
2025-01-01,100041114,25
2025-01-01,100047030,87
2025-01-01,100052600,145
2025-01-01,100052602,5
2025-01-01,100052603,29
2025-01-01,100052605,14
2025-01-01,100052606,50
2025-01-01,100053055,3
2025-01-01,100053059,29
2025-01-01,100053210,29
2025-01-01,100054073,12
2025-01-01,100055268,52
2025-01-01,100056188,168
2025-01-01,300014985,172
2025-01-01,300014986,159
2025-01-01,300014993,50
2025-01-01,300014994,57
2025-01-01,300014995,212
2025-01-01,300014996,128
2025-01-01,300020478,57
2025-01-01,300020679,175
2025-01-01,300020816,106
2025-01-01,300020817,101
2025-01-01,300021685,4
2025-01-01,300028650,63
2025-01-01,ZLT24020668,24
2025-01-01,ZLT24020669,36
2025-01-02,100001753,73
2025-01-02,100003032,205
2025-01-02,100003040,9
2025-01-02,100003041,91
2025-01-02,100003042,113
2025-01-02,100004575,0
2025-01-02,100007390,1937
2025-01-02,100011747,35
2025-01-02,100011783,91
2025-01-02,100012217,208
2025-01-02,100012218,6
2025-01-02,100017441,179
2025-01-02,100017523,42
2025-01-02,100025474,382
2025-01-02,100035408,48
2025-01-02,100035409,0
2025-01-02,100041114,23
2025-01-02,100047030,67
2025-01-02,100052600,180
2025-01-02,100052602,4
2025-01-02,100052603,37
2025-01-02,100052605,25
2025-01-02,100052606,65
2025-01-02,100053055,11
2025-01-02,100053059,55
2025-01-02,100053210,29
2025-01-02,100054073,24
2025-01-02,100055268,74
2025-01-02,100056188,206
2025-01-02,300014985,245
2025-01-02,300014986,197
2025-01-02,300014993,52
2025-01-02,300014994,47
2025-01-02,300014995,247
2025-01-02,300014996,216
2025-01-02,300020478,100
2025-01-02,300020679,297
2025-01-02,300020816,165
2025-01-02,300020817,108
2025-01-02,300021685,2
2025-01-02,300028650,94
2025-01-02,ZLT24020668,61
2025-01-02,ZLT24020669,45
2025-01-03,100001753,80
2025-01-03,100003032,332
2025-01-03,100003040,10
2025-01-03,100003041,115
2025-01-03,100003042,111
2025-01-03,100004575,0
2025-01-03,100007390,2528
2025-01-03,100011747,47
2025-01-03,100011783,99
2025-01-03,100012217,232
2025-01-03,100017441,197
2025-01-03,100017523,69
2025-01-03,100025474,873
2025-01-03,100035408,64
2025-01-03,100035409,1
2025-01-03,100041114,45
2025-01-03,100047030,77
2025-01-03,100052600,217
2025-01-03,100052602,6
2025-01-03,100052603,90
2025-01-03,100052605,21
2025-01-03,100052606,60
2025-01-03,100053055,11
2025-01-03,100053059,76
2025-01-03,100053210,41
2025-01-03,100054073,33
2025-01-03,100055268,81
2025-01-03,100056188,233
2025-01-03,300014985,297
2025-01-03,300014986,257
2025-01-03,300014993,75
2025-01-03,300014994,73
2025-01-03,300014995,314
2025-01-03,300014996,258
2025-01-03,300020478,103
2025-01-03,300020679,420
2025-01-03,300020816,188
2025-01-03,300020817,140
2025-01-03,300021685,3
2025-01-03,300028650,118
2025-01-03,ZLT24020668,51
2025-01-03,ZLT24020669,57
2025-01-04,100001753,34
2025-01-04,100003032,192
2025-01-04,100003040,5
2025-01-04,100003041,68
2025-01-04,100003042,69
2025-01-04,100004575,0
2025-01-04,100007390,730
2025-01-04,100011747,20
2025-01-04,100011783,49
2025-01-04,100012217,147
2025-01-04,100017441,94
2025-01-04,100017523,22
2025-01-04,100025474,373
2025-01-04,100035408,45
2025-01-04,100035409,0
2025-01-04,100041114,14
2025-01-04,100047030,43
2025-01-04,100052600,142
2025-01-04,100052602,0
2025-01-04,100052603,28
2025-01-04,100052605,12
2025-01-04,100052606,39
2025-01-04,100053055,5
2025-01-04,100053059,28
2025-01-04,100053210,24
2025-01-04,100054073,12
2025-01-04,100055268,45
2025-01-04,100056188,136
2025-01-04,300014985,194
2025-01-04,300014986,176
2025-01-04,300014993,31
2025-01-04,300014994,29
2025-01-04,300014995,168
2025-01-04,300014996,162
2025-01-04,300020478,46
2025-01-04,300020679,309
2025-01-04,300020816,120
2025-01-04,300020817,91
2025-01-04,300021685,0
2025-01-04,300028650,66
2025-01-04,ZLT24020668,24
2025-01-04,ZLT24020669,19
2025-01-05,100001753,37
2025-01-05,100003032,166
2025-01-05,100003040,6
2025-01-05,100003041,88
2025-01-05,100003042,88
2025-01-05,100004575,0
2025-01-05,100007390,2270
2025-01-05,100011747,21
2025-01-05,100011783,46
2025-01-05,100012217,145
2025-01-05,100017441,126
2025-01-05,100017523,9
2025-01-05,100025474,513
2025-01-05,100035408,31
2025-01-05,100035409,0
2025-01-05,100041114,28
2025-01-05,100047030,34
2025-01-05,100052600,94
2025-01-05,100052602,1
2025-01-05,100052603,24
2025-01-05,100052605,8
2025-01-05,100052606,27
2025-01-05,100053055,6
2025-01-05,100053059,29
2025-01-05,100053210,22
2025-01-05,100054073,10
2025-01-05,100055268,50
2025-01-05,100056188,119
2025-01-05,300014985,167
2025-01-05,300014986,163
2025-01-05,300014993,33
2025-01-05,300014994,47
2025-01-05,300014995,180
2025-01-05,300014996,141
2025-01-05,300020478,52
2025-01-05,300020679,280
2025-01-05,300020816,129
2025-01-05,300020817,78
2025-01-05,300021685,0
2025-01-05,300028650,51
2025-01-05,ZLT24020668,22
2025-01-05,ZLT24020669,31
2025-01-06,100001753,136
2025-01-06,100003032,587
2025-01-06,100003040,12
2025-01-06,100003041,267
2025-01-06,100003042,322
2025-01-06,100004575,0
2025-01-06,100007390,3473
2025-01-06,100011747,95
2025-01-06,100011783,159
2025-01-06,100012217,258
2025-01-06,100017441,497
2025-01-06,100017523,52
2025-01-06,100025474,736
2025-01-06,100035408,101
2025-01-06,100035409,0
2025-01-06,100041114,23
2025-01-06,100047030,140
2025-01-06,100052600,287
2025-01-06,100052602,3
2025-01-06,100052603,42
2025-01-06,100052605,29
2025-01-06,100052606,89
2025-01-06,100053055,10
2025-01-06,100053059,61
2025-01-06,100053210,42
2025-01-06,100054073,31
2025-01-06,100055268,104
2025-01-06,100056188,304
2025-01-06,300014985,489
2025-01-06,300014986,473
2025-01-06,300014993,128
2025-01-06,300014994,106
2025-01-06,300014995,507
2025-01-06,300014996,428
2025-01-06,300020478,187
2025-01-06,300020679,822
2025-01-06,300020816,291
2025-01-06,300020817,275
2025-01-06,300021685,4
2025-01-06,300028650,115
2025-01-06,ZLT24020668,55
2025-01-06,ZLT24020669,39
2025-01-07,100001753,160
2025-01-07,100003032,615
2025-01-07,100003040,16
2025-01-07,100003041,264
2025-01-07,100003042,292
2025-01-07,100004575,0
2025-01-07,100007390,1909
2025-01-07,100011747,106
2025-01-07,100011783,166
2025-01-07,100012217,265
2025-01-07,100017441,507
2025-01-07,100017523,15
2025-01-07,100025474,437
2025-01-07,100035408,113
2025-01-07,100035409,0
2025-01-07,100041114,38
2025-01-07,100047030,125
2025-01-07,100052600,306
2025-01-07,100052602,7
2025-01-07,100052603,34
2025-01-07,100052605,22
2025-01-07,100052606,76
2025-01-07,100053055,21
2025-01-07,100053059,39
2025-01-07,100053210,43
2025-01-07,100054073,49
2025-01-07,100055268,91
2025-01-07,100056188,328
